id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg,region,minHighwayDis,minHospitalDis,minMallDis,minParkDis,minPoliceDis,minSchoolDis,minStationDis,crime_rate_per_100000_people
105578,W13,1.0,1,No,0-499 sqft,Yes,We,33.0,8,284.0,332000.0,43.64892030387668,-79.40968734848676,17,1.49,2.58,0.63,1.98,1.37,0.64,1.61,2391.0
105689,W10,1.0,1,No,1000-1499 sqft,Yes,E,6.0,24,771.0,923000.0,43.6885742065784,-79.36244405320134,15,0.5,3.41,0.53,1.05,4.07,1.8,1.4,944.0
105715,W11,1.0,1,YES,500-999 sqft,Yes,No,36.0,7,824.0,1020000.0,43.65962793550611,-79.360052788241,16,0.44,1.85,0.13,1.63,3.19,0.83,1.7,1690.0
105836,W13,0.0,1,No,0-499 sqft,N,We,39.0,13,441.0,372000.0,43.64345180381688,-79.38727259086588,3,0.44,2.05,0.13,0.62,0.62,0.74,0.52,1486.0
105884,W13,1.0,1,No,0-499 sqft,Yes,No,13.0,27,471.0,371000.0,43.646756253260826,-79.38744253394398,10,0.8,1.7,0.05,0.97,0.98,0.87,0.24,2541.0
106356,W13,1.0,1,No,0-499 sqft,N,No,2.0,24,421.0,597000.0,43.65119165422813,-79.4035214988771,9,1.52,2.03,0.41,1.81,1.53,0.09,1.29,5186.0
106445,W10,,1,No,500-999 sqft,N,No,37.0,21,347.0,544000.0,43.66901353767106,-79.41736501555722,21,3.76,2.89,0.54,2.65,1.4,0.36,0.55,2816.0
106766,W10,2.0,2,YES,1000-1499 sqft,N,We,7.0,6,1244.0,1441000.0,43.676659179682886,-79.36608241327582,20,0.28,2.15,0.83,1.5,3.1,1.33,0.42,2548.0
106771,W13,3.0,2,No,1000-1499 sqft,N,S,16.0,6,734.0,977000.0,43.64475247279676,-79.3842507410183,18,0.46,1.88,0.21,0.86,0.77,1.02,0.31,1486.0
106819,W11,1.0,1,YES,500-999 sqft,N,No,6.0,5,568.0,841000.0,43.65406538091898,-79.36746382684338,6,0.86,1.5,0.34,2.0,2.33,0.72,0.97,3543.0
106906,W10,2.0,2,No,500-999 sqft,Yes,S,11.0,4,817.0,786000.0,43.66891340307807,-79.40732138953987,12,3.29,2.13,0.38,1.84,0.68,0.34,0.21,2816.0
108342,W10,1.0,1,No,1000-1499 sqft,Yes,No,15.0,12,1348.0,1079000.0,43.65818653538204,-79.39572653588854,24,2.17,1.1,0.48,1.34,0.85,0.26,0.48,5186.0
109024,W10,1.0,1,YES,500-999 sqft,N,No,15.0,2,1263.0,842000.0,43.68047121374631,-79.37186889653717,20,0.35,2.27,0.69,1.8,2.91,1.53,0.81,2548.0
109040,W10,2.0,3,No,0-499 sqft,Yes,S,4.0,31,477.0,515000.0,43.67744652803645,-79.37981441461092,8,0.91,1.77,0.66,1.21,2.2,0.81,0.64,2548.0
109107,W10,2.0,2,No,500-999 sqft,N,No,14.0,3,768.0,794000.0,43.67682781809185,-79.39178942146748,1,1.88,1.83,0.6,1.23,1.52,0.43,0.55,2816.0
109176,W10,3.0,3,No,2500-2999 sqft,N,We,11.0,3,2699.0,2375000.0,43.653685420788825,-79.3973925565255,9,1.75,1.47,0.05,1.82,1.28,0.27,0.74,5186.0
109224,W13,1.0,1,YES,500-999 sqft,Yes,S,3.0,3,746.0,625000.0,43.64830241456163,-79.36657078735891,6,0.26,1.98,0.24,2.19,1.94,0.28,0.9,2293.0
110468,W10,1.0,1,No,500-999 sqft,N,S,0.0,31,338.0,482000.0,43.6796979596683,-79.36588098272351,20,0.14,2.43,0.5,1.64,3.27,1.52,0.73,944.0
110611,W10,2.0,2,No,1000-1499 sqft,Yes,E,2.0,2,1276.0,1431000.0,43.682917102764335,-79.37900337432238,5,0.98,2.38,1.13,1.81,2.67,1.27,0.94,2548.0
110847,W13,1.0,1,YES,0-499 sqft,N,S,4.0,5,404.0,425000.0,43.65093876645939,-79.39738670004766,9,1.47,1.67,0.13,1.53,1.58,0.41,0.85,5186.0
111916,W11,1.0,1,YES,500-999 sqft,Yes,No,14.0,1,402.0,742000.0,43.66031721958782,-79.37720540337483,19,1.69,0.48,0.1,0.96,1.98,0.4,0.45,5132.0
112489,W11,1.0,1,YES,1000-1499 sqft,Yes,No,8.0,16,946.0,1091000.0,43.656143259998686,-79.38045712202393,19,1.34,0.64,0.13,1.26,1.91,0.82,0.06,5132.0
112497,W10,1.0,1,YES,500-999 sqft,Yes,No,3.0,7,884.0,936000.0,43.67877103794076,-79.3877912665706,14,1.55,1.94,0.79,1.32,1.88,0.56,0.39,2548.0
112533,W10,2.0,1,No,500-999 sqft,Yes,No,7.0,5,673.0,604000.0,43.67141023503768,-79.39807923877399,1,2.5,1.63,0.24,1.19,0.76,0.25,0.34,2816.0
112794,W10,1.0,1,No,0-499 sqft,Yes,S,1.0,19,284.0,471000.0,43.657778580030126,-79.4232971764715,4,2.77,3.28,0.51,3.29,1.96,0.13,0.56,1425.0
112819,W10,0.0,1,No,0-499 sqft,N,E,2.0,7,441.0,471000.0,43.66787523054822,-79.41848507991081,21,3.68,2.95,0.45,2.73,1.45,0.27,0.42,2816.0
112904,W13,2.0,2,YES,1500-1999 sqft,N,No,16.0,16,1737.0,2031000.0,43.63176884942029,-79.42427312725944,0,0.36,4.7,0.82,2.85,0.64,1.61,0.64,1577.0
113285,W10,3.0,2,No,1500-1999 sqft,N,S,11.0,21,1796.0,2268000.0,43.6570014293122,-79.42286903377098,4,2.69,3.26,0.44,3.28,1.97,0.1,0.65,1425.0
113652,W10,1.0,1,No,500-999 sqft,Yes,No,29.0,11,718.0,799000.0,43.68025668493576,-79.38179993570458,14,1.08,2.07,0.95,1.48,2.3,0.9,0.72,2548.0
113903,W10,2.0,2,YES,1000-1499 sqft,Yes,S,10.0,1,1857.0,1370000.0,43.66300695728128,-79.41749679807873,4,3.16,2.79,0.14,2.69,1.34,0.16,0.14,1425.0
113933,W13,1.0,2,YES,500-999 sqft,N,No,12.0,6,412.0,521000.0,43.640689304378846,-79.39965094610203,23,0.32,2.69,0.13,0.82,1.14,0.4,1.43,1486.0
113934,W10,2.0,2,No,1500-1999 sqft,N,S,8.0,1,1735.0,1537000.0,43.666505519659786,-79.4133239600996,12,3.38,2.51,0.19,2.32,1.01,0.56,0.18,2816.0
114079,W10,2.0,3,No,500-999 sqft,Yes,S,9.0,15,776.0,858000.0,43.66232140050581,-79.39067613279265,24,2.37,0.63,0.51,0.73,0.88,0.73,0.3,1520.0
114324,W10,2.0,2,YES,500-999 sqft,N,No,44.0,9,731.0,801000.0,43.66338135880305,-79.39567236790568,24,2.68,1.05,0.58,0.99,0.46,0.66,0.43,4099.0
114341,W10,3.0,3,No,3000-3499 sqft,N,S,5.0,2,2773.0,2522000.0,43.68372496961093,-79.38739888795821,14,1.63,2.48,0.6,1.86,2.36,1.11,0.34,2548.0
115299,W13,1.0,1,No,0-499 sqft,Yes,S,,11,487.0,428000.0,43.6418504194098,-79.40827597513808,23,0.85,3.0,0.38,1.53,0.83,0.92,1.07,1674.0
116392,W10,1.0,1,YES,1000-1499 sqft,Yes,No,20.0,10,548.0,691000.0,43.66788447286545,-79.42646741967883,21,3.86,3.57,0.46,3.37,2.08,0.38,0.61,2030.0
116675,W13,1.0,2,YES,500-999 sqft,Yes,E,36.0,3,527.0,657000.0,43.63948723874604,-79.41667247786116,7,1.18,3.67,0.25,2.15,0.2,1.21,0.42,1577.0
116763,W13,2.0,2,No,0-499 sqft,N,E,43.0,1,434.0,482000.0,43.64974960914613,-79.36007557969204,11,0.18,2.26,0.53,2.61,2.47,0.82,1.43,2293.0
117021,W10,1.0,1,No,500-999 sqft,Yes,S,4.0,7,395.0,,43.65556465698931,-79.40467655208118,22,2.02,1.88,0.24,2.07,1.08,0.12,1.25,5186.0
117411,W10,1.0,1,No,500-999 sqft,Yes,We,46.0,21,540.0,860000.0,43.6567910355892,-79.42349830253046,4,2.66,3.31,0.47,3.34,2.02,0.16,0.66,1425.0
117597,W11,2.0,2,YES,3000-3499 sqft,N,S,6.0,8,1692.0,2957000.0,43.65046387555233,-79.36439082290032,6,0.4,1.94,0.17,2.46,2.23,0.53,1.09,2293.0
117606,W10,2.0,1,No,500-999 sqft,Yes,No,,14,712.0,694000.0,43.68122746226295,-79.38314511259006,14,1.21,2.18,1.01,1.57,2.32,0.93,0.59,2548.0
117716,W10,1.0,1,No,500-999 sqft,Yes,S,68.0,10,630.0,678000.0,43.68093749979008,-79.37783779925412,5,0.8,2.18,1.04,1.63,2.58,1.17,0.97,2548.0
117823,W13,1.0,1,No,0-499 sqft,N,S,50.0,3,346.0,379000.0,43.649458113697726,-79.41011793917922,17,1.56,2.58,0.6,2.04,1.41,0.65,1.65,2391.0
118591,W13,2.0,2,No,1000-1499 sqft,Yes,E,59.0,1,973.0,1141000.0,43.65176882641551,-79.39482276789768,9,1.47,1.46,0.2,1.55,1.54,0.43,0.63,5186.0
118607,W11,1.0,1,No,0-499 sqft,Yes,S,6.0,8,460.0,532000.0,43.65986357434551,-79.3781692205196,19,1.66,0.43,0.12,0.95,1.92,0.42,0.38,5132.0
118688,W13,1.0,1,YES,500-999 sqft,Yes,S,2.0,3,709.0,796000.0,43.631269946688704,-79.41644858584813,7,0.98,4.33,0.78,2.27,0.43,1.64,0.56,1577.0
118792,W13,2.0,2,No,500-999 sqft,N,S,,13,823.0,1044000.0,43.6426745480886,-79.39370852853273,3,0.59,2.28,0.17,0.58,0.81,0.34,0.91,1486.0
118880,W13,2.0,3,YES,2500-2999 sqft,Yes,E,5.0,3,2377.0,2725000.0,43.6413630472458,-79.38010664776581,18,0.09,2.27,0.07,0.87,0.61,1.06,0.35,2293.0
118954,W11,0.0,1,No,0-499 sqft,Yes,No,8.0,23,357.0,577000.0,43.64902286071063,-79.37394056668552,6,0.41,1.58,0.06,1.76,1.57,0.32,0.31,5132.0
119232,W11,2.0,2,YES,500-999 sqft,N,E,10.0,0,541.0,973000.0,43.65612644688503,-79.35858978779743,16,0.56,2.05,0.5,1.91,2.99,0.94,1.72,3543.0
119300,W10,3.0,2,No,1000-1499 sqft,N,E,9.0,8,709.0,1049000.0,43.658288756694674,-79.39814145221521,9,2.25,1.28,0.29,1.47,0.77,0.31,0.66,4099.0
119354,W10,3.0,2,No,500-999 sqft,Yes,S,15.0,27,2179.0,1594000.0,43.68732079122928,-79.38425470537078,14,1.6,2.86,0.54,2.16,2.84,1.51,0.76,2548.0
119381,W13,1.0,1,No,0-499 sqft,Yes,S,2.0,2,338.0,457000.0,43.640524672574855,-79.42572319453163,0,0.85,4.17,0.2,2.89,0.78,0.65,0.75,1848.0
119385,W13,1.0,1,YES,500-999 sqft,Yes,S,31.0,20,465.0,639000.0,43.63991581482915,-79.38997531568806,3,0.18,2.48,0.35,0.19,0.38,0.38,0.93,1486.0
119633,W13,3.0,2,No,1500-1999 sqft,N,No,11.0,3,1756.0,1896000.0,43.6447272475221,-79.38001480267098,18,0.29,1.9,0.26,1.08,0.9,0.84,0.04,2293.0
120207,W13,1.0,2,YES,500-999 sqft,N,We,42.0,0,371.0,484000.0,43.642946043993454,-79.40900418101614,23,0.96,2.96,0.4,1.62,0.86,0.92,1.11,1674.0
120297,W10,0.0,1,No,0-499 sqft,Yes,S,22.0,16,456.0,563000.0,43.667015896053904,-79.41129877830507,12,3.38,2.36,0.24,2.15,0.86,0.41,0.12,2816.0
121125,W11,,2,No,500-999 sqft,Yes,S,1.0,1,552.0,702000.0,43.65338418957292,-79.37711098534112,19,0.95,1.03,0.17,1.64,1.86,0.83,0.2,5132.0
121292,W10,1.0,1,No,1000-1499 sqft,N,S,16.0,12,565.0,1046000.0,43.68087884205192,-79.37217570164768,20,0.4,2.3,0.69,1.83,2.92,1.53,0.86,2548.0
121300,W13,2.0,2,No,1000-1499 sqft,N,E,5.0,8,1168.0,1142000.0,43.63392632158949,-79.42413211097849,0,0.35,4.53,0.62,2.79,0.54,1.38,0.48,1577.0
121304,W10,2.0,2,YES,3500-3999 sqft,N,No,,7,3063.0,3240000.0,43.668049580211445,-79.39949977410471,1,2.74,1.51,0.18,1.21,0.37,0.24,0.07,2816.0
121563,W13,1.0,1,No,500-999 sqft,Yes,S,4.0,6,550.0,840000.0,43.64597638297198,-79.37852599738675,18,0.44,1.78,0.12,1.26,1.08,0.68,0.14,2293.0
121730,W10,1.0,1,No,500-999 sqft,Yes,We,2.0,13,716.0,515000.0,43.66503119410412,-79.38893263590217,24,2.21,0.61,0.35,0.42,0.97,0.4,0.41,1520.0
121887,W10,1.0,1,No,500-999 sqft,Yes,E,9.0,21,662.0,992000.0,43.65752889580571,-79.39610592339044,9,2.11,1.16,0.44,1.41,0.91,0.19,0.53,5186.0
122377,W10,1.0,1,No,500-999 sqft,N,No,7.0,4,435.0,570000.0,43.67717850711609,-79.39548435318399,1,2.17,2.0,0.57,1.42,1.44,0.68,0.64,2816.0
123216,W10,1.0,1,No,0-499 sqft,N,No,34.0,18,515.0,416000.0,43.66122157338069,-79.41703342051501,4,2.96,2.75,0.32,2.69,1.35,0.25,0.34,1425.0
123314,W13,1.0,1,No,500-999 sqft,N,E,1.0,7,300.0,462000.0,43.63305679660868,-79.42645585244166,0,0.15,4.73,0.81,2.99,0.74,1.44,0.69,1577.0
123612,W13,1.0,1,YES,0-499 sqft,Yes,S,22.0,7,548.0,521000.0,43.63086878483824,-79.42058363245974,0,0.67,4.57,0.81,2.59,0.52,1.8,0.59,1577.0
123661,W13,1.0,1,No,,Yes,E,4.0,4,422.0,337000.0,43.646500619919145,-79.3923701481095,3,0.86,1.85,0.11,0.94,1.08,0.48,0.62,2541.0
123935,W13,1.0,1,YES,500-999 sqft,Yes,We,32.0,26,498.0,566000.0,43.64318935382664,-79.36592947216948,6,0.38,2.46,0.46,2.01,1.72,0.62,1.15,2293.0
123946,W11,3.0,3,No,500-999 sqft,N,No,14.0,32,659.0,772000.0,43.667030075324526,-79.3873790978827,24,1.97,0.7,0.13,0.23,1.12,0.14,0.33,1520.0
123996,W13,1.0,1,No,0-499 sqft,N,We,8.0,4,,349000.0,43.63723452930347,-79.40940236028725,7,0.81,3.45,0.5,1.57,0.61,1.0,0.77,1577.0
124059,W11,2.0,3,YES,1000-1499 sqft,Yes,S,5.0,7,1530.0,1631000.0,43.65609579363458,-79.37316590622777,19,1.17,1.0,0.38,1.53,2.27,0.95,0.62,3543.0
124281,W10,2.0,2,No,500-999 sqft,Yes,We,17.0,2,646.0,944000.0,43.6862745821955,-79.36448876840569,15,0.33,3.11,0.24,1.36,3.78,2.02,1.31,944.0
124306,W13,2.0,3,No,500-999 sqft,Yes,S,35.0,9,330.0,580000.0,43.64566517759428,-79.38800070847209,3,0.68,1.82,0.08,0.84,0.87,0.82,0.35,2541.0
124873,W10,2.0,2,No,500-999 sqft,Yes,We,,3,477.0,544000.0,43.67713051435632,-79.39402075697394,1,2.05,1.94,0.58,1.35,1.47,0.58,0.58,2816.0
125115,W13,1.0,1,No,0-499 sqft,Yes,No,2.0,4,324.0,368000.0,43.64775843465269,-79.39187670828491,3,0.97,1.71,0.08,1.07,1.19,0.56,0.55,2541.0
125371,W13,1.0,1,No,0-499 sqft,Yes,S,0.0,4,351.0,510000.0,43.64812346495301,-79.35358247773593,11,0.56,2.8,1.08,2.65,2.85,1.32,1.95,2293.0
125945,W13,,2,No,1000-1499 sqft,N,We,12.0,2,916.0,1086000.0,43.64118028379217,-79.41006799746732,23,0.94,3.16,0.42,1.65,0.67,1.08,0.91,1674.0
126226,W10,1.0,1,No,500-999 sqft,N,S,29.0,8,408.0,597000.0,43.6576597855081,-79.38238448898211,19,1.56,0.45,0.12,1.06,1.7,0.69,0.17,6464.0
126312,W13,2.0,2,YES,1000-1499 sqft,N,No,18.0,1,1103.0,1203000.0,43.63994975532933,-79.41481056006283,7,1.27,3.52,0.18,2.01,0.3,1.3,0.55,1577.0
126435,W13,1.0,1,No,0-499 sqft,N,E,13.0,1,542.0,718000.0,43.63324836492381,-79.41986559748015,0,0.68,4.34,0.54,2.47,0.27,1.58,0.32,1577.0
126914,W13,1.0,1,No,0-499 sqft,Yes,No,44.0,7,328.0,375000.0,43.63448897228415,-79.39679454563824,13,0.43,3.22,0.21,0.69,0.95,0.16,1.73,1486.0
127018,W11,1.0,2,No,500-999 sqft,Yes,S,7.0,16,431.0,643000.0,43.658410829236985,-79.35670884681171,16,0.27,2.14,0.3,1.62,3.28,0.66,1.93,1690.0
127671,W10,1.0,1,YES,500-999 sqft,Yes,We,16.0,18,584.0,845000.0,43.68969757424708,-79.36687346441238,15,0.75,3.37,0.63,1.22,3.89,1.64,1.72,944.0
129025,W11,3.0,2,No,,N,No,1.0,27,1040.0,1286000.0,43.66861250992624,-79.36763161933985,2,1.09,1.45,0.15,1.37,2.71,1.12,0.56,2374.0
129168,W13,2.0,2,YES,1500-1999 sqft,Yes,No,9.0,25,749.0,1554000.0,43.6327094182152,-79.4283103986411,0,0.04,4.87,0.74,3.14,0.9,1.47,0.84,1577.0
130211,W10,2.0,2,YES,500-999 sqft,N,We,31.0,4,805.0,1019000.0,43.67886972593038,-79.36949395705423,20,0.09,2.2,0.69,1.78,2.97,1.63,0.6,2548.0
130408,W11,0.0,1,No,0-499 sqft,N,No,15.0,13,554.0,522000.0,43.65159660611511,-79.37059196712495,6,0.63,1.49,0.18,2.06,1.96,0.42,0.65,3543.0
130636,W13,2.0,2,YES,1000-1499 sqft,N,We,9.0,5,833.0,1003000.0,43.64893466078119,-79.41869870721416,17,1.92,3.21,0.11,2.6,1.25,0.88,1.44,2391.0
130687,W13,2.0,3,No,500-999 sqft,Yes,E,20.0,26,786.0,863000.0,43.64715819249943,-79.35729562089672,11,0.28,2.61,0.85,2.81,2.53,1.02,1.66,2293.0
130793,W11,1.0,1,YES,0-499 sqft,N,We,26.0,25,826.0,707000.0,43.64959571620021,-79.37226407016766,6,0.46,1.59,0.07,1.9,1.7,0.26,0.45,5132.0
130875,W10,1.0,1,YES,500-999 sqft,Yes,No,14.0,9,562.0,724000.0,43.66064923715426,-79.40584872537607,22,2.59,1.85,0.49,1.86,0.61,0.33,0.73,4099.0
131051,W13,1.0,1,YES,500-999 sqft,Yes,We,30.0,7,874.0,664000.0,43.6489396599336,-79.36657606820224,6,0.33,1.93,0.18,2.23,1.99,0.3,0.9,2293.0
131192,W11,1.0,1,No,1000-1499 sqft,Yes,S,,10,1138.0,1165000.0,43.66458403255859,-79.381677115887,19,1.86,0.34,0.23,0.36,1.55,0.21,0.2,2414.0
131930,W10,2.0,2,No,500-999 sqft,N,S,22.0,4,775.0,1000000.0,43.673006488041096,-79.3727576770427,20,0.69,1.5,0.46,1.15,2.44,1.19,0.3,2548.0
132404,W13,3.0,2,No,500-999 sqft,Yes,We,10.0,1,472.0,749000.0,43.64539591050112,-79.39443616891754,3,0.84,2.03,0.04,0.87,1.07,0.31,0.81,2541.0
132779,W10,2.0,1,No,500-999 sqft,N,No,13.0,5,1280.0,977000.0,43.66987787546195,-79.39610179643226,1,2.41,1.4,0.25,0.98,0.68,0.1,0.27,2816.0
132887,W13,2.0,3,No,500-999 sqft,N,S,4.0,19,561.0,803000.0,43.65182417487625,-79.395394644539,9,1.5,1.49,0.16,1.57,1.52,0.43,0.66,5186.0
133183,W11,1.0,1,YES,500-999 sqft,Yes,S,16.0,29,538.0,593000.0,43.664686474513104,-79.36956184254173,2,1.29,1.12,0.15,1.23,2.53,0.82,0.98,2374.0
133281,W11,3.0,2,No,2000-2499 sqft,Yes,No,5.0,0,1364.0,1749000.0,43.66949535073759,-79.3647102863036,2,1.04,1.7,0.4,1.31,2.96,1.04,0.57,2374.0
133438,W10,1.0,1,YES,1000-1499 sqft,N,No,12.0,2,736.0,1091000.0,43.67308888933629,-79.37558840758571,8,0.82,1.4,0.26,0.98,2.24,1.04,0.11,2548.0
133521,W10,1.0,1,YES,0-499 sqft,N,We,8.0,45,394.0,619000.0,43.6874450396754,-79.38531288092786,14,1.68,2.87,0.45,2.12,2.81,1.49,0.68,2548.0
133764,W13,1.0,1,YES,0-499 sqft,Yes,S,14.0,9,357.0,348000.0,43.64783881017319,-79.40009560579402,9,1.11,2.07,0.1,1.34,1.58,0.28,1.14,2541.0
134141,W13,1.0,1,YES,500-999 sqft,Yes,We,2.0,17,360.0,422000.0,43.63331203379422,-79.40953871732391,7,0.96,3.81,0.59,1.67,0.68,1.04,0.81,1577.0
134347,W13,1.0,1,No,0-499 sqft,Yes,No,24.0,20,334.0,348000.0,43.640858346915714,-79.39888217763662,3,0.34,2.65,0.19,0.77,1.08,0.35,1.37,1486.0
134658,W13,1.0,1,YES,0-499 sqft,N,No,4.0,5,353.0,378000.0,43.64556001850626,-79.38363827650413,18,0.49,1.79,0.28,0.96,0.87,1.09,0.27,6464.0
135052,W13,2.0,2,YES,2000-2499 sqft,Yes,E,7.0,3,1616.0,1886000.0,43.64192715288541,-79.39641801916294,3,0.51,2.45,0.13,0.66,0.94,0.28,1.14,1486.0
135167,W10,2.0,2,No,500-999 sqft,N,E,2.0,8,986.0,966000.0,43.67069780830903,-79.40366341418458,12,2.95,1.95,0.47,1.59,0.68,0.56,0.25,2816.0
135295,W10,0.0,1,No,0-499 sqft,Yes,E,6.0,17,365.0,477000.0,43.67681555150813,-79.39370502367126,1,2.03,1.9,0.55,1.31,1.45,0.54,0.6,2816.0
135773,W10,1.0,1,No,500-999 sqft,N,S,27.0,23,524.0,925000.0,43.68579366567355,-79.38517397815866,14,1.57,2.69,0.54,2.08,2.65,1.36,0.63,2548.0
135819,W13,0.0,1,No,0-499 sqft,N,We,29.0,16,441.0,407000.0,43.64392665185077,-79.37737965252862,18,0.27,2.02,0.27,1.2,0.96,0.71,0.25,2293.0
135985,W10,2.0,2,YES,1000-1499 sqft,Yes,No,30.0,8,778.0,1289000.0,43.68336822688696,-79.3788775412086,5,1.0,2.44,1.11,1.86,2.72,1.32,0.95,2548.0
136165,W11,1.0,1,YES,500-999 sqft,N,No,14.0,0,861.0,769000.0,43.668208841440645,-79.37232400200398,2,1.17,1.12,0.03,0.99,2.33,0.78,0.56,2301.0
136430,W13,1.0,1,YES,500-999 sqft,N,No,2.0,12,411.0,475000.0,43.64755871730547,-79.38191572507861,18,0.62,1.57,0.07,1.22,1.12,0.93,0.24,6464.0
137182,W13,3.0,2,No,500-999 sqft,Yes,S,44.0,2,534.0,542000.0,43.64598214242794,-79.38664675499726,10,0.7,1.77,0.07,0.9,0.89,0.93,0.25,2541.0
137879,W13,2.0,2,YES,500-999 sqft,Yes,S,,3,927.0,1115000.0,43.64542738833445,-79.37343893402894,6,0.05,1.96,0.23,1.55,1.31,0.36,0.52,2293.0
138695,W13,1.0,1,No,500-999 sqft,N,No,16.0,11,737.0,733000.0,43.62469841529803,-79.39953851467621,13,1.46,4.32,1.22,1.69,1.83,1.26,2.0,2293.0
139005,W10,1.0,1,YES,500-999 sqft,Yes,No,6.0,0,596.0,724000.0,43.68109679986046,-79.38111504744712,14,1.05,2.17,1.06,1.58,2.41,1.0,0.76,2548.0
139107,W10,2.0,2,YES,1000-1499 sqft,Yes,No,9.0,4,1478.0,1272000.0,43.65344363702422,-79.40333160370768,22,1.76,1.88,0.2,2.0,1.28,0.26,1.22,5186.0
139137,W10,1.0,2,YES,1000-1499 sqft,Yes,E,32.0,1,755.0,980000.0,43.666829188707794,-79.3930490825794,24,2.35,1.0,0.46,0.68,0.67,0.42,0.02,1520.0
140216,W10,1.0,1,No,0-499 sqft,Yes,We,3.0,12,335.0,457000.0,43.6633740671325,-79.39988678627128,22,2.83,1.38,0.4,1.3,0.19,0.5,0.57,4099.0
140285,W13,2.0,3,No,500-999 sqft,Yes,No,0.0,6,1124.0,918000.0,43.65065330124802,-79.38919678011524,10,1.21,1.32,0.28,1.38,1.43,0.68,0.21,5186.0
140481,W10,2.0,2,YES,500-999 sqft,Yes,S,3.0,7,680.0,925000.0,43.672124052556455,-79.38245164122857,8,1.32,1.16,0.19,0.58,1.69,0.52,0.3,2548.0
140680,W13,2.0,2,No,500-999 sqft,N,S,23.0,0,827.0,986000.0,43.645601084375286,-79.41634358680878,17,1.62,3.23,0.27,2.27,0.88,1.0,1.09,2391.0
