id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg,region
299615,W10,1.0,1,YES,0-499 sqft,N,No,16.0,14,591.0,544000.0,43.65477959286089,-79.39384776313454,9
281843,W10,3.0,3,No,500-999 sqft,Yes,S,5.0,5,477.0,688000.0,43.6566233037412,-79.42206224702754,4
320300,W11,1.0,1,No,500-999 sqft,N,E,24.0,6,444.0,583000.0,43.66944239478581,-79.37302246074034,2
907535,W11,1.0,1,No,500-999 sqft,N,S,6.0,16,818.0,618000.0,43.656430472335856,-79.3614755102645,16
819012,W13,1.0,1,YES,0-499 sqft,Yes,No,2.0,13,291.0,447000.0,43.63787336330299,-79.42318860146155,0
530843,W10,1.0,1,No,500-999 sqft,N,We,5.0,7,821.0,962000.0,43.677867350874486,-79.38042925505518,8
456166,W10,1.0,1,YES,0-499 sqft,N,S,27.0,10,511.0,583000.0,43.658014588772566,-79.40884291248227,22
791788,W13,1.0,1,No,0-499 sqft,N,No,0.0,2,341.0,480000.0,43.64858319233683,-79.35821841977804,11
307066,W13,2.0,2,No,500-999 sqft,Yes,E,5.0,9,615.0,929000.0,43.63712324210069,-79.39586212415982,3
608036,W13,,3,No,0-499 sqft,Yes,We,11.0,11,433.0,535000.0,43.643433868162674,-79.38511118341799,18
281137,W11,2.0,1,No,,N,E,10.0,0,1101.0,1514000.0,43.66898662492308,-79.36992489744038,2
408987,W13,1.0,1,YES,500-999 sqft,Yes,No,,1,505.0,660000.0,43.64797126927217,-79.42188992099923,17
518361,W10,1.0,1,YES,500-999 sqft,Yes,E,28.0,15,551.0,584000.0,43.691252039269386,-79.38356074578479,5
621228,W10,1.0,1,YES,0-499 sqft,Yes,No,33.0,4,402.0,515000.0,43.658391783860885,-79.41298298667198,4
612200,W13,1.0,1,No,500-999 sqft,Yes,No,1.0,9,,421000.0,43.64695008014707,-79.35810506709902,11
354135,W11,3.0,2,No,1000-1499 sqft,N,E,30.0,1,937.0,1288000.0,43.67075298910871,-79.3695234168154,2
378054,W13,2.0,2,YES,1000-1499 sqft,N,No,3.0,5,811.0,1063000.0,43.6386905061052,-79.40292852867819,23
707003,W10,1.0,1,No,0-499 sqft,Yes,No,2.0,13,391.0,608000.0,43.67260820394731,-79.3964567179495,1
616282,W10,2.0,2,No,1000-1499 sqft,Yes,S,13.0,14,748.0,955000.0,43.67038725693614,-79.41675121939844,21
893102,W13,2.0,2,YES,500-999 sqft,N,S,6.0,1,597.0,668000.0,43.64235415289229,-79.39064251149064,3
568870,W10,3.0,3,No,500-999 sqft,N,S,45.0,12,864.0,1062000.0,43.68510818722781,-79.36352422764439,15
975983,W11,1.0,1,No,500-999 sqft,N,S,26.0,12,462.0,732000.0,43.66940298365705,-79.36458858263411,2
722273,W11,2.0,2,YES,500-999 sqft,N,We,5.0,9,484.0,740000.0,43.650848467277946,-79.35949469940189,11
845257,W11,3.0,2,No,2000-2499 sqft,Yes,S,43.0,7,2324.0,2091000.0,43.656330604,-79.37049594275031,19
581277,W10,1.0,1,No,500-999 sqft,Yes,E,10.0,4,425.0,744000.0,43.66704293452999,-79.39023614082762,24
417263,W13,2.0,2,No,0-499 sqft,Yes,No,17.0,2,363.0,474000.0,43.6409791040876,-79.39103784280555,3
418538,W13,0.0,1,No,0-499 sqft,Yes,We,26.0,5,435.0,491000.0,43.63335213033687,-79.40538161130118,13
475362,W13,1.0,1,No,500-999 sqft,Yes,S,20.0,4,393.0,,43.637068301466776,-79.41992239558438,0
309405,W10,1.0,1,No,500-999 sqft,N,No,6.0,4,462.0,643000.0,43.66491143054659,-79.42342978529648,21
853540,W10,2.0,2,No,500-999 sqft,Yes,S,5.0,0,643.0,797000.0,43.67506532134303,-79.38359438675909,8
839906,W10,1.0,1,No,500-999 sqft,N,E,5.0,12,480.0,706000.0,43.66977787380511,-79.41909721734585,21
367605,W13,1.0,1,No,0-499 sqft,Yes,No,15.0,7,514.0,677000.0,43.62791634368859,-79.42217395109768,0
728239,W10,1.0,1,No,0-499 sqft,Yes,E,8.0,34,322.0,433000.0,43.67761823333922,-79.37808845380833,8
798021,W10,3.0,3,No,1500-1999 sqft,N,E,1.0,4,1376.0,1594000.0,43.68197315281072,-79.38338747626753,14
226145,W10,1.0,1,No,500-999 sqft,Yes,S,0.0,14,711.0,954000.0,43.65123667382479,-79.41229867796919,17
616690,W13,1.0,1,YES,0-499 sqft,Yes,No,29.0,10,590.0,621000.0,43.64341935897714,-79.37353850127008,18
751569,W11,1.0,1,YES,500-999 sqft,N,S,1.0,12,600.0,506000.0,43.67102477562876,-79.37884185554077,8
142938,W13,1.0,1,YES,500-999 sqft,Yes,We,5.0,1,513.0,659000.0,43.63068175184152,-79.42506854587812,0
530508,W10,1.0,1,YES,0-499 sqft,Yes,S,19.0,4,424.0,579000.0,43.674908170165445,-79.40011674304948,1
834952,W10,,1,YES,0-499 sqft,Yes,We,27.0,66,596.0,593000.0,43.66677528463544,-79.41090874291397,12
307990,W13,2.0,2,No,1000-1499 sqft,N,E,4.0,7,1328.0,2104000.0,43.64548732203343,-79.38877218563383,3
879190,W13,1.0,1,YES,0-499 sqft,Yes,No,16.0,16,498.0,417000.0,43.64347583419956,-79.39152697764838,3
207517,W10,1.0,1,YES,500-999 sqft,Yes,S,35.0,50,580.0,606000.0,43.68630830823633,-79.36546014961567,15
663260,W13,1.0,1,No,0-499 sqft,N,S,5.0,4,479.0,423000.0,43.63915834275468,-79.40902855204247,7
548273,W10,1.0,1,YES,500-999 sqft,N,No,20.0,7,592.0,717000.0,43.672265753345535,-79.39255352976954,1
932983,W10,2.0,2,No,5500-3999 sqft,N,S,7.0,6,2399.0,3233000.0,43.65855805222266,-79.4099473508933,22
400295,W10,1.0,1,No,500-999 sqft,Yes,S,5.0,1,463.0,476000.0,43.6603771976342,-79.42268654902624,4
550120,W10,2.0,1,YES,500-999 sqft,N,No,34.0,1,980.0,822000.0,43.68851321717712,-79.37340043467746,5
586668,W10,1.0,1,YES,0-499 sqft,N,S,21.0,5,442.0,634000.0,43.66092805529888,-79.42212001459329,4
807145,W10,1.0,1,No,500-999 sqft,Yes,No,1.0,12,646.0,657000.0,43.68748498149737,-79.38652052757627,14
302078,W10,1.0,1,YES,500-999 sqft,N,No,26.0,1,951.0,824000.0,43.67141654088601,-79.38202049951113,8
801210,W10,2.0,1,No,500-999 sqft,Yes,No,3.0,5,899.0,1170000.0,43.65814235326624,-79.41778346105235,4
366502,W11,2.0,2,YES,,N,We,19.0,26,1440.0,1593000.0,43.67035203083382,-79.37700259986664,8
837282,W10,2.0,2,YES,500-999 sqft,Yes,S,6.0,4,875.0,1151000.0,43.691370727488135,-79.38520084850015,5
124059,W11,2.0,3,YES,1000-1499 sqft,Yes,S,5.0,7,1530.0,1631000.0,43.65609579363458,-79.37316590622777,19
948888,W11,0.0,1,No,500-999 sqft,Yes,S,1.0,6,672.0,651000.0,43.64735741454651,-79.37624496123253,18
928860,W10,0.0,1,No,500-999 sqft,Yes,We,11.0,1,405.0,,43.68320743542206,-79.37538200435051,5
870561,W13,,1,No,500-999 sqft,N,No,12.0,11,515.0,790000.0,43.64773136448078,-79.3865173628873,10
567771,W10,1.0,1,YES,0-499 sqft,N,S,16.0,23,784.0,609000.0,43.6735033312105,-79.41613684542105,21
127018,W11,1.0,2,No,500-999 sqft,Yes,S,7.0,16,431.0,643000.0,43.658410829236985,-79.35670884681171,16
933426,W13,1.0,1,No,0-499 sqft,Yes,E,14.0,56,460.0,521000.0,43.64090759004112,-79.38973963094027,3
249520,W11,2.0,2,No,2000-2499 sqft,Yes,No,15.0,20,1587.0,2345000.0,43.65160936718761,-79.35815829597233,11
526656,W10,3.0,3,No,500-999 sqft,Yes,We,1.0,2,607.0,760000.0,43.657953162367285,-79.38541727739832,10
772306,W10,1.0,1,No,500-999 sqft,Yes,No,11.0,4,482.0,668000.0,43.67133007341938,-79.36099903480113,2
546887,W11,3.0,2,No,1000-1499 sqft,Yes,We,33.0,1,1053.0,1744000.0,43.65915459739329,-79.35494013103141,16
692998,W13,2.0,2,YES,500-999 sqft,Yes,S,,1,690.0,732000.0,43.62979004932593,-79.42607476280322,0
966332,W10,1.0,1,YES,500-999 sqft,Yes,S,6.0,6,559.0,645000.0,43.68156982028633,-79.38528883499055,14
230990,W13,1.0,1,YES,0-499 sqft,N,E,12.0,13,487.0,675000.0,43.650027034550334,-79.40682970653084,23
771192,W11,0.0,1,No,500-999 sqft,Yes,E,9.0,13,446.0,552000.0,43.656658350824095,-79.36230834212346,16
507456,W10,2.0,2,No,1000-1499 sqft,Yes,No,22.0,5,1504.0,1538000.0,43.65663966847502,-79.39924416317368,9
154260,W10,3.0,2,No,1000-1499 sqft,Yes,No,34.0,4,1640.0,1708000.0,43.65707147973088,-79.3995171978187,22
627604,W10,0.0,1,No,0-499 sqft,N,No,29.0,0,461.0,413000.0,43.65860317202797,-79.41780895263135,4
707648,W13,1.0,1,No,500-999 sqft,Yes,No,12.0,6,997.0,907000.0,43.639544536013545,-79.38453389099516,18
362330,W13,0.0,1,No,0-499 sqft,N,No,7.0,5,190.0,314000.0,43.65235559667089,-79.3863155500551,10
930759,W11,1.0,1,YES,0-499 sqft,Yes,S,26.0,11,474.0,593000.0,43.662041467749845,-79.38009355385358,19
800990,W10,1.0,1,YES,500-999 sqft,Yes,E,5.0,5,453.0,612000.0,43.66152776590948,-79.41297912124354,4
321058,W13,1.0,1,No,500-999 sqft,Yes,S,6.0,5,332.0,540000.0,43.644540695969226,-79.38308815965767,18
241211,W10,1.0,1,YES,500-999 sqft,Yes,No,30.0,19,541.0,783000.0,43.659272372162846,-79.39566259695796,24
267464,W10,1.0,1,No,500-999 sqft,Yes,S,,11,474.0,603000.0,43.65217193262901,-79.41089718092816,17
700515,W11,1.0,1,No,500-999 sqft,N,No,21.0,8,484.0,810000.0,43.66400480180729,-79.37821531558511,19
597181,W10,3.0,2,No,1500-1999 sqft,Yes,We,2.0,6,1626.0,2207000.0,43.65972789962456,-79.41874424481644,4
570353,W13,1.0,1,YES,500-999 sqft,Yes,S,13.0,29,560.0,564000.0,43.65045985845342,-79.35048391162378,11
843629,W11,2.0,2,YES,500-999 sqft,Yes,We,4.0,8,721.0,1031000.0,43.661826715161794,-79.35581266835601,16
524841,W13,1.0,1,No,0-499 sqft,N,No,17.0,11,277.0,352000.0,43.64130923726016,-79.39258533083662,3
218226,W13,1.0,1,No,0-499 sqft,Yes,No,2.0,23,389.0,580000.0,43.63124935084299,-79.41939278981891,0
105468,W13,3.0,2,No,1500-1999 sqft,N,S,6.0,2,1419.0,1856000.0,43.64528066870085,-79.40670355453,23
450286,W10,2.0,2,YES,1000-1499 sqft,Yes,E,7.0,0,770.0,1026000.0,43.67169297277797,-79.41601900289291,21
869911,W11,3.0,2,No,500-999 sqft,Yes,We,21.0,5,1414.0,1169000.0,43.650753758487504,-79.3693685044526,6
621816,W13,0.0,1,No,500-999 sqft,Yes,S,4.0,1,311.0,406000.0,43.65094670317311,-79.38949194726895,10
862606,W13,3.0,2,No,500-999 sqft,N,S,31.0,7,741.0,960000.0,43.634756490158544,-79.40277160720318,13
372044,W10,1.0,1,No,0-499 sqft,N,No,3.0,3,539.0,598000.0,43.65845822529775,-79.39978922218572,22
504456,W13,3.0,2,No,1000-1499 sqft,Yes,S,29.0,31,880.0,1201000.0,43.64315636809393,-79.42172139457325,17
617786,W10,0.0,1,No,0-499 sqft,N,S,28.0,25,568.0,446000.0,43.68721113253535,-79.38257074904202,5
820361,W10,0.0,1,No,0-499 sqft,Yes,No,4.0,14,444.0,482000.0,43.67257119886015,-79.40402579686784,12
893767,W13,2.0,3,No,1000-1499 sqft,Yes,E,1.0,6,883.0,1065000.0,43.635084016034085,-79.40495305559969,13
641321,W13,1.0,1,No,0-499 sqft,N,S,15.0,20,305.0,408000.0,43.64048941037716,-79.40402920670617,23
494165,W13,1.0,1,YES,0-499 sqft,Yes,We,26.0,14,425.0,573000.0,43.651178547436416,-79.39921735968286,9
224153,W10,1.0,1,No,500-999 sqft,Yes,No,19.0,2,702.0,787000.0,43.661757252228746,-79.42061399658787,4
284545,W13,1.0,1,No,0-499 sqft,N,S,10.0,12,412.0,453000.0,43.63328528376831,-79.41454809962507,7
400534,W13,1.0,1,No,0-499 sqft,N,No,5.0,22,210.0,345000.0,43.64717564115477,-79.41034858502093,17
667640,W10,0.0,1,No,500-999 sqft,Yes,E,11.0,2,519.0,510000.0,43.65251789719476,-79.42143272123265,17
334557,W13,1.0,1,YES,0-499 sqft,Yes,S,40.0,10,385.0,505000.0,43.63837857384209,-79.40981652051418,7
768263,W13,3.0,2,No,1000-1499 sqft,Yes,No,6.0,2,,1982000.0,43.62608245220396,-79.40180083307985,13
898550,W11,2.0,2,No,2000-2499 sqft,N,S,6.0,1,1773.0,2646000.0,43.65521151115659,-79.3519358388028,11
914236,W10,2.0,2,No,0-499 sqft,Yes,No,26.0,21,459.0,539000.0,43.66579167224076,-79.38951447651665,24
635625,W10,1.0,1,No,500-999 sqft,Yes,S,,9,629.0,806000.0,43.66014471514905,-79.41132780932112,4
938686,W13,2.0,2,No,500-999 sqft,N,We,2.0,12,548.0,522000.0,43.63915039196851,-79.41671069587115,7
215564,W13,2.0,2,No,1000-1499 sqft,Yes,We,4.0,3,1161.0,1308000.0,43.64887440390925,-79.39330050220346,9
939189,W10,3.0,2,No,1500-1999 sqft,Yes,S,46.0,1,1472.0,2483000.0,43.67376576396133,-79.37054183086484,20
815414,W13,2.0,1,No,1000-1499 sqft,N,We,13.0,16,826.0,976000.0,43.64476035255634,-79.37947219238056,18
154436,W10,2.0,2,No,500-999 sqft,Yes,No,14.0,6,473.0,776000.0,43.67479658561091,-79.37942925236273,8
792348,W10,2.0,2,No,1000-1499 sqft,N,E,13.0,17,809.0,1083000.0,43.68184248427738,-79.38766402656029,14
427039,W10,1.0,1,No,500-999 sqft,Yes,No,4.0,6,737.0,830000.0,43.65583799717483,-79.39890366529887,9
998269,W11,1.0,1,No,0-499 sqft,N,No,,1,581.0,597000.0,43.667817976629486,-79.37491657821232,8
141368,W13,1.0,1,No,500-999 sqft,N,No,7.0,39,969.0,1076000.0,43.63920830374038,-79.39966645969287,23
494661,W13,1.0,1,YES,0-499 sqft,N,S,5.0,5,299.0,398000.0,43.6463932135532,-79.4180267698472,17
769657,W11,1.0,1,YES,500-999 sqft,Yes,No,32.0,9,464.0,731000.0,43.66688987265,-79.37130067000518,2
273527,W13,1.0,1,YES,500-999 sqft,N,S,19.0,5,761.0,608000.0,43.637045293079005,-79.39690835104925,3
947826,W10,0.0,1,No,0-499 sqft,Yes,S,19.0,15,576.0,,43.662253824976176,-79.3912750431255,24
850779,W13,1.0,1,YES,0-499 sqft,Yes,No,26.0,4,1095.0,835000.0,43.64247178059622,-79.38279778710346,18
234926,W11,2.0,2,No,1500-1999 sqft,N,We,9.0,1,1241.0,1799000.0,43.66981916521821,-79.37834646910025,8
185873,W10,1.0,1,No,500-999 sqft,N,S,14.0,21,364.0,561000.0,43.65588387795109,-79.40476718222999,22
281063,W11,3.0,3,No,500-999 sqft,N,E,2.0,1,596.0,671000.0,43.65645025112478,-79.37713253898661,19
970586,W11,2.0,2,YES,2000-2499 sqft,Yes,S,27.0,24,1481.0,2239000.0,43.6638866545276,-79.38236093873577,19
220076,W13,1.0,1,YES,0-499 sqft,N,No,5.0,37,366.0,476000.0,43.64393068969407,-79.38497867186427,18
472650,W10,0.0,1,No,0-499 sqft,N,We,16.0,14,364.0,494000.0,43.65829894795095,-79.42369971838299,4
369871,W13,,2,No,0-499 sqft,N,No,18.0,23,397.0,531000.0,43.64645378308035,-79.37691093812559,18
547069,W10,2.0,3,No,500-999 sqft,Yes,No,10.0,14,1136.0,759000.0,43.66340627087072,-79.40810610224344,22
140285,W13,2.0,3,No,500-999 sqft,Yes,No,0.0,6,1124.0,918000.0,43.65065330124802,-79.38919678011524,10
713736,W13,1.0,1,No,0-499 sqft,N,S,33.0,15,559.0,574000.0,43.635362465217824,-79.42476392666237,0
368271,W13,1.0,1,No,0-499 sqft,Yes,No,3.0,13,401.0,534000.0,43.649510654173305,-79.38301674736108,10
354525,W11,2.0,2,No,500-999 sqft,Yes,No,17.0,4,493.0,758000.0,43.66665239976295,-79.36490954515091,2
354222,W10,1.0,1,No,0-499 sqft,N,No,13.0,4,445.0,572000.0,43.6618749714002,-79.3907142429252,24
378184,W13,1.0,1,YES,0-499 sqft,N,No,4.0,10,410.0,534000.0,43.646395933187975,-79.39277280035749,3
779023,W13,2.0,2,YES,2000-2499 sqft,N,S,24.0,0,791.0,1354000.0,43.62952416907706,-79.41689166261776,7
585003,W10,1.0,2,YES,500-999 sqft,N,S,3.0,6,627.0,,43.665829203819385,-79.40431868004335,12
315853,W13,1.0,1,YES,500-999 sqft,Yes,No,9.0,10,536.0,611000.0,43.63094580780606,-79.41025881775457,7
396994,W13,2.0,3,No,500-999 sqft,Yes,No,5.0,17,483.0,781000.0,43.6524580707927,-79.38502711394055,10
559777,W13,1.0,2,No,500-999 sqft,N,S,15.0,1,807.0,727000.0,43.65489034461185,-79.3878188619261,10
992515,W10,2.0,2,No,500-999 sqft,N,S,0.0,9,542.0,858000.0,43.67171534884383,-79.40740865283625,12
106445,W10,,1,No,500-999 sqft,N,No,37.0,21,347.0,544000.0,43.66901353767106,-79.41736501555722,21
818968,W10,1.0,1,YES,500-999 sqft,N,We,3.0,19,904.0,589000.0,43.6594137567821,-79.4200385239682,4
969187,W11,1.0,1,No,500-999 sqft,Yes,No,6.0,10,,937000.0,43.66490467872208,-79.35882310423476,16
939473,W10,1.0,1,YES,500-999 sqft,Yes,No,28.0,15,453.0,697000.0,43.65267853662135,-79.40554654605934,22
935524,W13,2.0,2,YES,1000-1499 sqft,Yes,E,24.0,4,1772.0,1455000.0,43.64703278128743,-79.41795082190966,17
565517,W13,1.0,1,YES,0-499 sqft,Yes,S,2.0,0,309.0,401000.0,43.64176175533039,-79.37666097934573,18
198062,W10,1.0,1,YES,0-499 sqft,Yes,No,10.0,4,315.0,494000.0,43.67484879304373,-79.37657396379102,8
742212,W10,,1,YES,500-999 sqft,Yes,S,3.0,1,667.0,707000.0,43.678046103806096,-79.38693096471944,14
900507,W10,1.0,1,No,500-999 sqft,Yes,No,35.0,4,786.0,736000.0,43.66690825086027,-79.41704656766072,21
396678,W10,2.0,2,No,0-499 sqft,Yes,S,,5,398.0,637000.0,43.67402007272538,-79.38316132801693,8
112904,W13,2.0,2,YES,1500-1999 sqft,N,No,16.0,16,1737.0,2031000.0,43.63176884942029,-79.42427312725944,0
308694,W13,2.0,2,No,500-999 sqft,N,No,28.0,16,546.0,564000.0,43.64858599701532,-79.3534928989926,11
515773,W10,1.0,1,No,0-499 sqft,N,S,6.0,31,432.0,504000.0,43.67012613902014,-79.39690161902813,1
771372,W13,1.0,1,No,500-999 sqft,Yes,S,22.0,2,343.0,544000.0,43.64800763819655,-79.35379269777367,11
421897,W11,2.0,2,No,2000-2499 sqft,Yes,No,10.0,3,1623.0,2525000.0,43.667739206538826,-79.36330642542268,2
904562,W11,3.0,2,No,500-999 sqft,Yes,E,6.0,6,1056.0,1297000.0,43.65686901433624,-79.35628880592218,16
526661,W10,1.0,1,YES,0-499 sqft,Yes,S,7.0,0,640.0,521000.0,43.674109501602665,-79.40706116561653,12
241254,W11,1.0,1,YES,500-999 sqft,N,S,13.0,5,561.0,908000.0,43.65310288514511,-79.36203643370004,16
692790,W13,2.0,2,No,500-999 sqft,Yes,No,35.0,15,498.0,,43.63261656393461,-79.42374095488174,0
981429,W10,2.0,2,No,1000-1499 sqft,N,No,15.0,10,1351.0,1120000.0,43.65424323322222,-79.40594952490831,22
162615,W13,2.0,2,YES,500-999 sqft,Yes,No,0.0,5,737.0,977000.0,43.64744602219507,-79.3651524639819,6
408288,W11,1.0,1,No,0-499 sqft,N,S,1.0,1,244.0,454000.0,43.65574813290531,-79.37370991322578,19
276671,W10,1.0,1,YES,500-999 sqft,N,S,30.0,52,545.0,640000.0,43.67335447870717,-79.41074268492588,12
135167,W10,2.0,2,No,500-999 sqft,N,E,2.0,8,986.0,966000.0,43.67069780830903,-79.40366341418458,12
340278,W11,1.0,1,No,500-999 sqft,Yes,We,2.0,6,583.0,650000.0,43.64961300380499,-79.36508749063192,6
807131,W13,1.0,1,No,0-499 sqft,N,No,29.0,7,359.0,324000.0,43.64347408814545,-79.37366568961681,18
679679,W13,1.0,1,No,500-999 sqft,Yes,S,2.0,18,352.0,411000.0,43.638637134422,-79.41018148605123,7
356158,W11,2.0,2,No,2500-2999 sqft,Yes,We,74.0,0,3417.0,2966000.0,43.66185212649464,-79.35603251620512,16
555447,W10,2.0,3,No,500-999 sqft,Yes,No,1.0,2,770.0,1048000.0,43.67531052052358,-79.40226779426919,1
834000,W13,2.0,1,YES,500-999 sqft,Yes,S,13.0,13,1152.0,947000.0,43.64000762452478,-79.38138657809166,18
144041,W11,1.0,1,YES,500-999 sqft,Yes,E,0.0,11,489.0,653000.0,43.66658013517973,-79.38450133567503,8
929944,W11,1.0,1,No,1000-1499 sqft,N,We,3.0,31,771.0,1095000.0,43.65176935478931,-79.37778267611975,18
106356,W13,1.0,1,No,0-499 sqft,N,No,2.0,24,421.0,597000.0,43.65119165422813,-79.4035214988771,9
868256,W10,2.0,2,No,500-999 sqft,Yes,No,26.0,4,519.0,904000.0,43.67350499054061,-79.38648101676132,8
518086,W11,1.0,2,No,500-999 sqft,N,No,23.0,3,585.0,727000.0,43.66780697740527,-79.35818711631141,2
559597,W11,2.0,2,No,1000-1499 sqft,N,S,11.0,3,702.0,881000.0,43.655325940968815,-79.381011492229,10
882802,W10,2.0,2,YES,500-999 sqft,N,No,2.0,9,519.0,652000.0,43.68481666375047,-79.37706837722106,5
803728,W10,1.0,1,YES,0-499 sqft,N,E,16.0,12,505.0,544000.0,43.675975815965785,-79.39490558716217,1
696726,W13,0.0,1,No,0-499 sqft,Yes,S,1.0,7,261.0,355000.0,43.649436643205405,-79.35213891812829,11
843875,W10,2.0,3,No,500-999 sqft,N,We,1.0,8,521.0,623000.0,43.6627414032855,-79.38916232027992,24
829112,W10,1.0,1,YES,0-499 sqft,N,E,26.0,1,660.0,464000.0,43.67651435368483,-79.39268772800534,1
520333,W10,1.0,1,No,0-499 sqft,Yes,S,36.0,37,269.0,466000.0,43.686888267049085,-79.36351953456581,15
116675,W13,1.0,2,YES,500-999 sqft,Yes,E,36.0,3,527.0,657000.0,43.63948723874604,-79.41667247786116,7
675754,W10,1.0,1,No,0-499 sqft,Yes,We,6.0,6,512.0,473000.0,43.688033118822126,-79.38481278625581,14
435945,W11,0.0,1,No,500-999 sqft,Yes,S,12.0,18,,524000.0,43.65165957560184,-79.375302009554,6
786705,W10,2.0,2,No,500-999 sqft,N,S,21.0,1,,745000.0,43.6884021259965,-79.3654918067672,15
417352,W11,,1,YES,1000-1499 sqft,Yes,We,24.0,9,816.0,1064000.0,43.670338588061696,-79.37936203430705,8
522708,W10,1.0,1,No,1000-1499 sqft,Yes,No,12.0,8,930.0,1127000.0,43.67181293399795,-79.38527803213698,8
423200,W10,2.0,2,YES,0-499 sqft,Yes,S,,11,481.0,700000.0,43.66711887712077,-79.40262124343852,12
212176,W13,2.0,2,No,500-999 sqft,Yes,We,4.0,6,419.0,,43.643503383013005,-79.39650610257337,3
126312,W13,2.0,2,YES,1000-1499 sqft,N,No,18.0,1,1103.0,1203000.0,43.63994975532933,-79.41481056006283,7
851075,W11,1.0,1,YES,500-999 sqft,N,S,14.0,1,523.0,756000.0,43.66923596893025,-79.3656583626832,2
386877,W13,3.0,2,No,500-999 sqft,Yes,We,6.0,9,568.0,672000.0,43.6466026748435,-79.41600724437738,17
329530,W10,1.0,1,YES,500-999 sqft,Yes,S,6.0,5,469.0,530000.0,43.67443319868485,-79.37855190717494,8
822163,W13,1.0,1,YES,0-499 sqft,Yes,S,3.0,9,669.0,792000.0,43.64122224396262,-79.40891520821529,23
408636,W13,1.0,1,No,500-999 sqft,N,No,2.0,3,343.0,591000.0,43.65063742710944,-79.39387014994767,9
188753,W10,1.0,1,No,500-999 sqft,Yes,No,7.0,17,755.0,936000.0,43.66663577127729,-79.4150919074637,21
926305,W10,1.0,1,No,500-999 sqft,N,S,12.0,22,340.0,500000.0,43.68991857268851,-79.37927499332562,5
748835,W10,1.0,1,No,500-999 sqft,Yes,S,11.0,8,449.0,547000.0,43.65651995226327,-79.40546909214754,22
712774,W13,2.0,2,No,500-999 sqft,N,E,23.0,6,708.0,791000.0,43.639007703432,-79.40604701251473,23
832983,W10,0.0,1,No,0-499 sqft,Yes,No,1.0,3,310.0,447000.0,43.66183617802765,-79.38955415243652,24
934253,W13,2.0,2,No,500-999 sqft,Yes,No,0.0,19,388.0,569000.0,43.638409195640286,-79.39004426804922,3
377895,W10,3.0,3,No,2000-2499 sqft,Yes,No,25.0,2,1914.0,2523000.0,43.6737279464691,-79.39502352371382,1
460670,W13,1.0,1,YES,500-999 sqft,Yes,No,9.0,46,438.0,506000.0,43.64797657067911,-79.40652898471484,23
119381,W13,1.0,1,No,0-499 sqft,Yes,S,2.0,2,338.0,457000.0,43.640524672574855,-79.42572319453163,0
556042,W10,2.0,2,No,500-999 sqft,Yes,S,38.0,2,682.0,673000.0,43.66151782537853,-79.40249935089085,22
