id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg
127018,W11,1,2,No,500-999 sqft,Yes,S,7,16,431,643000,43.658410829236985,-79.35670884681171
933426,W13,1,1,No,0-499 sqft,Yes,E,14,56,460,521000,43.640907590041124,-79.38973963094027
249520,W11,2,2,No,2000-2499 sqft,Yes,No,15,20,1587,2345000,43.65160936718761,-79.35815829597233
526656,W10,3,3,No,500-999 sqft,Yes,We,1,2,607,760000,43.657953162367285,-79.38541727739832
772306,W10,1,1,No,500-999 sqft,Yes,No,11,4,482,668000,43.67133007341938,-79.36099903480113
546887,W11,3,2,No,1000-1499 sqft,Yes,We,33,1,1053,1744000,43.65915459739329,-79.35494013103141
692998,W13,2,2,YES,500-999 sqft,Yes,S,NA,1,690,732000,43.62979004932593,-79.42607476280322
966332,W10,1,1,YES,500-999 sqft,Yes,S,6,6,559,645000,43.68156982028633,-79.38528883499055
230990,W13,1,1,YES,0-499 sqft,N,E,12,13,487,675000,43.650027034550334,-79.40682970653084
771192,W11,0,1,No,500-999 sqft,Yes,E,9,13,446,552000,43.656658350824095,-79.36230834212346
507456,W10,2,2,No,1000-1499 sqft,Yes,No,22,5,1504,1538000,43.65663966847502,-79.39924416317368
154260,W10,3,2,No,1000-1499 sqft,Yes,No,34,4,1640,1708000,43.657071479730874,-79.3995171978187
627604,W10,0,1,No,0-499 sqft,N,No,29,0,461,413000,43.65860317202797,-79.41780895263135
707648,W13,1,1,No,500-999 sqft,Yes,No,12,6,997,907000,43.639544536013545,-79.38453389099516
362330,W13,0,1,No,0-499 sqft,N,No,7,5,190,314000,43.65235559667089,-79.3863155500551
930759,W11,1,1,YES,0-499 sqft,Yes,S,26,11,474,593000,43.662041467749845,-79.38009355385358
800990,W10,1,1,YES,500-999 sqft,Yes,E,5,5,453,612000,43.661527765909476,-79.41297912124354
321058,W13,1,1,No,500-999 sqft,Yes,S,6,5,332,540000,43.644540695969226,-79.38308815965767
241211,W10,1,1,YES,500-999 sqft,Yes,No,30,19,541,783000,43.659272372162846,-79.39566259695796
267464,W10,1,1,No,500-999 sqft,Yes,S,NA,11,474,603000,43.65217193262901,-79.41089718092816
700515,W11,1,1,No,500-999 sqft,N,No,21,8,484,810000,43.66400480180729,-79.37821531558511
597181,W10,3,2,No,1500-1999 sqft,Yes,We,2,6,1626,2207000,43.65972789962456,-79.41874424481644
570353,W13,1,1,YES,500-999 sqft,Yes,S,13,29,560,564000,43.65045985845342,-79.35048391162378
843629,W11,2,2,YES,500-999 sqft,Yes,We,4,8,721,1031000,43.661826715161794,-79.35581266835601
524841,W13,1,1,No,0-499 sqft,N,No,17,11,277,352000,43.64130923726016,-79.39258533083662
218226,W13,1,1,No,0-499 sqft,Yes,No,2,23,389,580000,43.63124935084299,-79.41939278981891
105468,W13,3,2,No,1500-1999 sqft,N,S,6,2,1419,1856000,43.64528066870085,-79.40670355453
450286,W10,2,2,YES,1000-1499 sqft,Yes,E,7,0,770,1026000,43.67169297277797,-79.41601900289291
869911,W11,3,2,No,500-999 sqft,Yes,We,21,5,1414,1169000,43.650753758487504,-79.3693685044526
621816,W13,0,1,No,500-999 sqft,Yes,S,4,1,311,406000,43.650946703173105,-79.38949194726895
862606,W13,3,2,No,500-999 sqft,N,S,31,7,741,960000,43.634756490158544,-79.40277160720318
372044,W10,1,1,No,0-499 sqft,N,No,3,3,539,598000,43.65845822529775,-79.39978922218572
504456,W13,3,2,No,1000-1499 sqft,Yes,S,29,31,880,1201000,43.64315636809393,-79.42172139457325
617786,W10,0,1,No,0-499 sqft,N,S,28,25,568,446000,43.68721113253535,-79.38257074904202
820361,W10,0,1,No,0-499 sqft,Yes,No,4,14,444,482000,43.67257119886015,-79.40402579686784
893767,W13,2,3,No,1000-1499 sqft,Yes,E,1,6,883,1065000,43.635084016034085,-79.40495305559969
641321,W13,1,1,No,0-499 sqft,N,S,15,20,305,408000,43.64048941037716,-79.40402920670617
494165,W13,1,1,YES,0-499 sqft,Yes,We,26,14,425,573000,43.651178547436416,-79.39921735968286
224153,W10,1,1,No,500-999 sqft,Yes,No,19,2,702,787000,43.661757252228746,-79.42061399658787
284545,W13,1,1,No,0-499 sqft,N,S,10,12,412,453000,43.63328528376831,-79.41454809962507
400534,W13,1,1,No,0-499 sqft,N,No,5,22,210,345000,43.64717564115477,-79.41034858502093
667640,W10,0,1,No,500-999 sqft,Yes,E,11,2,519,510000,43.65251789719476,-79.42143272123265
334557,W13,1,1,YES,0-499 sqft,Yes,S,40,10,385,505000,43.63837857384209,-79.40981652051418
768263,W13,3,2,No,1000-1499 sqft,Yes,No,6,2,NA,1982000,43.62608245220396,-79.40180083307985
898550,W11,2,2,No,2000-2499 sqft,N,S,6,1,1773,2646000,43.65521151115659,-79.3519358388028
914236,W10,2,2,No,0-499 sqft,Yes,No,26,21,459,539000,43.66579167224076,-79.38951447651665
635625,W10,1,1,No,500-999 sqft,Yes,S,NA,9,629,806000,43.66014471514905,-79.41132780932112
938686,W13,2,2,No,500-999 sqft,N,We,2,12,548,522000,43.63915039196851,-79.41671069587115
215564,W13,2,2,No,1000-1499 sqft,Yes,We,4,3,1161,1308000,43.64887440390925,-79.39330050220346
939189,W10,3,2,No,1500-1999 sqft,Yes,S,46,1,1472,2483000,43.67376576396133,-79.37054183086484
815414,W13,2,1,No,1000-1499 sqft,N,We,13,16,826,976000,43.64476035255634,-79.37947219238056
154436,W10,2,2,No,500-999 sqft,Yes,No,14,6,473,776000,43.67479658561091,-79.37942925236273
792348,W10,2,2,No,1000-1499 sqft,N,E,13,17,809,1083000,43.68184248427738,-79.38766402656029
427039,W10,1,1,No,500-999 sqft,Yes,No,4,6,737,830000,43.65583799717483,-79.39890366529887
998269,W11,1,1,No,0-499 sqft,N,No,NA,1,581,597000,43.667817976629486,-79.37491657821232
141368,W13,1,1,No,500-999 sqft,N,No,7,39,969,1076000,43.63920830374038,-79.39966645969287
494661,W13,1,1,YES,0-499 sqft,N,S,5,5,299,398000,43.6463932135532,-79.4180267698472
769657,W11,1,1,YES,500-999 sqft,Yes,No,32,9,464,731000,43.666889872649996,-79.37130067000518
273527,W13,1,1,YES,500-999 sqft,N,S,19,5,761,608000,43.637045293079005,-79.39690835104925
947826,W10,0,1,No,0-499 sqft,Yes,S,19,15,576,NA,43.662253824976176,-79.3912750431255
850779,W13,1,1,YES,0-499 sqft,Yes,No,26,4,1095,835000,43.64247178059622,-79.38279778710346
234926,W11,2,2,No,1500-1999 sqft,N,We,9,1,1241,1799000,43.66981916521821,-79.37834646910025
185873,W10,1,1,No,500-999 sqft,N,S,14,21,364,561000,43.65588387795109,-79.40476718222999
281063,W11,3,3,No,500-999 sqft,N,E,2,1,596,671000,43.65645025112478,-79.37713253898661
970586,W11,2,2,YES,2000-2499 sqft,Yes,S,27,24,1481,2239000,43.663886654527595,-79.38236093873577
220076,W13,1,1,YES,0-499 sqft,N,No,5,37,366,476000,43.643930689694066,-79.38497867186427
472650,W10,0,1,No,0-499 sqft,N,We,16,14,364,494000,43.65829894795095,-79.42369971838299
369871,W13,NA,2,No,0-499 sqft,N,No,18,23,397,531000,43.64645378308035,-79.37691093812559
547069,W10,2,3,No,500-999 sqft,Yes,No,10,14,1136,759000,43.66340627087072,-79.40810610224344
140285,W13,2,3,No,500-999 sqft,Yes,No,0,6,1124,918000,43.65065330124802,-79.38919678011524
713736,W13,1,1,No,0-499 sqft,N,S,33,15,559,574000,43.635362465217824,-79.42476392666237
368271,W13,1,1,No,0-499 sqft,Yes,No,3,13,401,534000,43.649510654173305,-79.38301674736108
354525,W11,2,2,No,500-999 sqft,Yes,No,17,4,493,758000,43.666652399762945,-79.36490954515091
354222,W10,1,1,No,0-499 sqft,N,No,13,4,445,572000,43.661874971400195,-79.3907142429252
378184,W13,1,1,YES,0-499 sqft,N,No,4,10,410,534000,43.646395933187975,-79.39277280035749
779023,W13,2,2,YES,2000-2499 sqft,N,S,24,0,791,1354000,43.62952416907706,-79.41689166261776
585003,W10,1,2,YES,500-999 sqft,N,S,3,6,627,NA,43.665829203819385,-79.40431868004335
315853,W13,1,1,YES,500-999 sqft,Yes,No,9,10,536,611000,43.63094580780606,-79.41025881775457
396994,W13,2,3,No,500-999 sqft,Yes,No,5,17,483,781000,43.6524580707927,-79.38502711394055
559777,W13,1,2,No,500-999 sqft,N,S,15,1,807,727000,43.65489034461185,-79.3878188619261
992515,W10,2,2,No,500-999 sqft,N,S,0,9,542,858000,43.67171534884383,-79.40740865283625
106445,W10,NA,1,No,500-999 sqft,N,No,37,21,347,544000,43.66901353767106,-79.41736501555722
818968,W10,1,1,YES,500-999 sqft,N,We,3,19,904,589000,43.6594137567821,-79.4200385239682
969187,W11,1,1,No,500-999 sqft,Yes,No,6,10,NA,937000,43.66490467872208,-79.35882310423476
939473,W10,1,1,YES,500-999 sqft,Yes,No,28,15,453,697000,43.65267853662135,-79.40554654605934
935524,W13,2,2,YES,1000-1499 sqft,Yes,E,24,4,1772,1455000,43.64703278128743,-79.41795082190966
565517,W13,1,1,YES,0-499 sqft,Yes,S,2,0,309,401000,43.64176175533039,-79.37666097934573
198062,W10,1,1,YES,0-499 sqft,Yes,No,10,4,315,494000,43.67484879304373,-79.37657396379102
742212,W10,NA,1,YES,500-999 sqft,Yes,S,3,1,667,707000,43.678046103806096,-79.38693096471944
900507,W10,1,1,No,500-999 sqft,Yes,No,35,4,786,736000,43.66690825086027,-79.41704656766072
396678,W10,2,2,No,0-499 sqft,Yes,S,NA,5,398,637000,43.674020072725384,-79.38316132801693
112904,W13,2,2,YES,1500-1999 sqft,N,No,16,16,1737,2031000,43.63176884942029,-79.42427312725944
308694,W13,2,2,No,500-999 sqft,N,No,28,16,546,564000,43.64858599701532,-79.3534928989926
515773,W10,1,1,No,0-499 sqft,N,S,6,31,432,504000,43.67012613902014,-79.39690161902813
771372,W13,1,1,No,500-999 sqft,Yes,S,22,2,343,544000,43.64800763819655,-79.35379269777367
421897,W11,2,2,No,2000-2499 sqft,Yes,No,10,3,1623,2525000,43.667739206538826,-79.36330642542268
904562,W11,3,2,No,500-999 sqft,Yes,E,6,6,1056,1297000,43.65686901433624,-79.35628880592218
526661,W10,1,1,YES,0-499 sqft,Yes,S,7,0,640,521000,43.674109501602665,-79.40706116561653
241254,W11,1,1,YES,500-999 sqft,N,S,13,5,561,908000,43.65310288514511,-79.36203643370004
692790,W13,2,2,No,500-999 sqft,Yes,No,35,15,498,NA,43.632616563934604,-79.42374095488174
981429,W10,2,2,No,1000-1499 sqft,N,No,15,10,1351,1120000,43.65424323322222,-79.40594952490831
162615,W13,2,2,YES,500-999 sqft,Yes,No,0,5,737,977000,43.64744602219507,-79.3651524639819
408288,W11,1,1,No,0-499 sqft,N,S,1,1,244,454000,43.65574813290531,-79.37370991322578
276671,W10,1,1,YES,500-999 sqft,N,S,30,52,545,640000,43.67335447870717,-79.41074268492588
135167,W10,2,2,No,500-999 sqft,N,E,2,8,986,966000,43.67069780830903,-79.40366341418458
340278,W11,1,1,No,500-999 sqft,Yes,We,2,6,583,650000,43.64961300380499,-79.36508749063192
807131,W13,1,1,No,0-499 sqft,N,No,29,7,359,324000,43.64347408814545,-79.37366568961681
679679,W13,1,1,No,500-999 sqft,Yes,S,2,18,352,411000,43.638637134422,-79.41018148605123
356158,W11,2,2,No,2500-2999 sqft,Yes,We,74,0,3417,2966000,43.66185212649464,-79.35603251620512
555447,W10,2,3,No,500-999 sqft,Yes,No,1,2,770,1048000,43.67531052052358,-79.40226779426919
834000,W13,2,1,YES,500-999 sqft,Yes,S,13,13,1152,947000,43.64000762452478,-79.38138657809166
144041,W11,1,1,YES,500-999 sqft,Yes,E,0,11,489,653000,43.66658013517973,-79.38450133567503
929944,W11,1,1,No,1000-1499 sqft,N,We,3,31,771,1095000,43.65176935478931,-79.37778267611975
106356,W13,1,1,No,0-499 sqft,N,No,2,24,421,597000,43.65119165422813,-79.4035214988771
868256,W10,2,2,No,500-999 sqft,Yes,No,26,4,519,904000,43.67350499054061,-79.38648101676132
518086,W11,1,2,No,500-999 sqft,N,No,23,3,585,727000,43.66780697740527,-79.35818711631141
559597,W11,2,2,No,1000-1499 sqft,N,S,11,3,702,881000,43.655325940968815,-79.381011492229
882802,W10,2,2,YES,500-999 sqft,N,No,2,9,519,652000,43.68481666375047,-79.37706837722106
803728,W10,1,1,YES,0-499 sqft,N,E,16,12,505,544000,43.675975815965785,-79.39490558716217
696726,W13,0,1,No,0-499 sqft,Yes,S,1,7,261,355000,43.649436643205405,-79.35213891812829
843875,W10,2,3,No,500-999 sqft,N,We,1,8,521,623000,43.6627414032855,-79.38916232027992
829112,W10,1,1,YES,0-499 sqft,N,E,26,1,660,464000,43.67651435368483,-79.39268772800534
520333,W10,1,1,No,0-499 sqft,Yes,S,36,37,269,466000,43.686888267049085,-79.36351953456581
116675,W13,1,2,YES,500-999 sqft,Yes,E,36,3,527,657000,43.639487238746035,-79.41667247786116
675754,W10,1,1,No,0-499 sqft,Yes,We,6,6,512,473000,43.688033118822126,-79.38481278625581
435945,W11,0,1,No,500-999 sqft,Yes,S,12,18,NA,524000,43.65165957560184,-79.375302009554
786705,W10,2,2,No,500-999 sqft,N,S,21,1,NA,745000,43.688402125996504,-79.3654918067672
417352,W11,NA,1,YES,1000-1499 sqft,Yes,We,24,9,816,1064000,43.670338588061696,-79.37936203430705
522708,W10,1,1,No,1000-1499 sqft,Yes,No,12,8,930,1127000,43.67181293399795,-79.38527803213698
423200,W10,2,2,YES,0-499 sqft,Yes,S,NA,11,481,700000,43.667118877120764,-79.40262124343852
212176,W13,2,2,No,500-999 sqft,Yes,We,4,6,419,NA,43.643503383013005,-79.39650610257337
126312,W13,2,2,YES,1000-1499 sqft,N,No,18,1,1103,1203000,43.63994975532933,-79.41481056006283
851075,W11,1,1,YES,500-999 sqft,N,S,14,1,523,756000,43.66923596893025,-79.3656583626832
386877,W13,3,2,No,500-999 sqft,Yes,We,6,9,568,672000,43.6466026748435,-79.41600724437738
329530,W10,1,1,YES,500-999 sqft,Yes,S,6,5,469,530000,43.67443319868485,-79.37855190717494
822163,W13,1,1,YES,0-499 sqft,Yes,S,3,9,669,792000,43.64122224396262,-79.40891520821529
408636,W13,1,1,No,500-999 sqft,N,No,2,3,343,591000,43.65063742710944,-79.39387014994767
188753,W10,1,1,No,500-999 sqft,Yes,No,7,17,755,936000,43.66663577127729,-79.4150919074637
926305,W10,1,1,No,500-999 sqft,N,S,12,22,340,500000,43.68991857268851,-79.37927499332562
748835,W10,1,1,No,500-999 sqft,Yes,S,11,8,449,547000,43.65651995226327,-79.40546909214754
712774,W13,2,2,No,500-999 sqft,N,E,23,6,708,791000,43.639007703432,-79.40604701251473
832983,W10,0,1,No,0-499 sqft,Yes,No,1,3,310,447000,43.66183617802765,-79.38955415243652
934253,W13,2,2,No,500-999 sqft,Yes,No,0,19,388,569000,43.638409195640286,-79.39004426804922
377895,W10,3,3,No,2000-2499 sqft,Yes,No,25,2,1914,2523000,43.6737279464691,-79.39502352371382
460670,W13,1,1,YES,500-999 sqft,Yes,No,9,46,438,506000,43.647976570679106,-79.40652898471484
119381,W13,1,1,No,0-499 sqft,Yes,S,2,2,338,457000,43.640524672574855,-79.42572319453163
556042,W10,2,2,No,500-999 sqft,Yes,S,38,2,682,673000,43.66151782537853,-79.40249935089085
517573,W11,1,1,No,500-999 sqft,Yes,We,10,15,402,716000,43.66337397273183,-79.36729551622913
614193,W10,1,1,YES,500-999 sqft,Yes,E,7,7,822,980000,43.65560549918588,-79.40146227204848
864757,W10,3,2,No,1500-1999 sqft,Yes,No,55,5,1366,1781000,43.69035080511779,-79.37930150360336
539410,W10,2,2,No,0-499 sqft,N,S,3,1,370,550000,43.658986529436284,-79.42186188298885
903968,W13,1,2,YES,1000-1499 sqft,N,We,22,16,782,928000,43.64742202452528,-79.40438269444009
357081,W11,2,2,No,1000-1499 sqft,Yes,S,1,7,1132,1432000,43.67093961010933,-79.37345730994248
985486,W11,1,1,YES,500-999 sqft,Yes,S,1,20,507,775000,43.665534819517774,-79.37915678461212
259988,W13,3,2,No,1500-1999 sqft,N,No,6,47,656,1079000,43.64415530931559,-79.39893867100682
433801,W10,0,1,No,500-999 sqft,Yes,S,15,4,438,510000,43.66648475885927,-79.40175353350932
674716,W13,3,2,No,1000-1499 sqft,N,S,31,3,836,1149000,43.64249844677967,-79.37407147965666
234126,W11,1,1,YES,500-999 sqft,N,No,33,2,522,600000,43.65762379528163,-79.37699996743123
995816,W11,1,1,YES,0-499 sqft,Yes,No,4,8,519,681000,43.6655007595563,-79.36614684837748
922563,W10,1,1,YES,500-999 sqft,N,S,13,4,652,764000,43.66975460570713,-79.41527096191653
175087,W10,1,1,YES,500-999 sqft,Yes,No,24,13,933,958000,43.68523483801255,-79.37474082480158
117606,W10,2,1,No,500-999 sqft,Yes,No,NA,14,712,694000,43.68122746226295,-79.38314511259006
383485,W11,2,2,No,500-999 sqft,N,S,1,1,592,656000,43.66773687061154,-79.36903527930563
914285,W13,2,1,YES,500-999 sqft,Yes,We,19,2,909,1105000,43.642323865242474,-79.39314403249375
157791,W11,1,1,YES,500-999 sqft,Yes,No,19,12,419,575000,43.66927232957425,-79.37878562468559
772358,W10,2,2,YES,1000-1499 sqft,Yes,No,8,29,908,1604000,43.67368553933773,-79.38460676646449
739283,W10,1,1,No,0-499 sqft,Yes,E,33,3,439,530000,43.68393675738664,-79.36792649040233
849790,W11,1,1,No,500-999 sqft,Yes,No,35,9,360,520000,43.655130959345094,-79.36572829509547
265350,W10,2,2,No,500-999 sqft,Yes,S,15,11,414,557000,43.668368041597184,-79.42169272830972
242699,W10,1,1,No,500-999 sqft,N,No,26,2,363,478000,43.68176696647642,-79.36925045334795
961047,W13,1,1,No,0-499 sqft,N,E,11,7,306,390000,43.64713698727472,-79.41274294145302
166855,W10,2,3,No,500-999 sqft,N,No,12,3,829,1074000,43.670738433905626,-79.40987184562863
735455,W10,1,1,YES,500-999 sqft,Yes,We,14,7,NA,833000,43.67219350814805,-79.39546012508933
562687,W10,1,1,No,0-499 sqft,Yes,No,NA,8,630,540000,43.68718176010148,-79.37522267177633
907159,W10,1,1,YES,500-999 sqft,Yes,No,7,25,701,761000,43.66021091659832,-79.40316051683354
607121,W11,1,1,YES,500-999 sqft,Yes,S,0,16,796,832000,43.65936113905952,-79.37554333947512
446668,W10,1,1,No,500-999 sqft,N,E,5,3,1102,991000,43.68511189211229,-79.37641788913504
900578,W10,0,1,No,0-499 sqft,Yes,E,9,1,379,NA,43.67059748012154,-79.38192042091764
739635,W10,2,2,No,1500-1999 sqft,N,No,38,1,1234,1629000,43.67633236437599,-79.37986360694174
652891,W10,2,2,No,2500-2999 sqft,N,No,NA,6,2914,3297000,43.67711582127787,-79.36574647392622
981516,W11,2,1,No,0-499 sqft,N,We,87,9,576,667000,43.65537858213443,-79.35978779473562
206591,W10,1,1,YES,500-999 sqft,N,No,NA,23,584,879000,43.684476518923,-79.37039541935812
628366,W10,1,1,No,500-999 sqft,Yes,S,2,33,511,652000,43.685897089097594,-79.37758603110153
612949,W10,1,1,No,500-999 sqft,N,E,7,0,859,764000,43.652653754175034,-79.41630918792667
766787,W13,1,1,No,0-499 sqft,Yes,S,4,15,423,417000,43.64317662051906,-79.38006486360766
399793,W13,2,2,No,500-999 sqft,Yes,No,NA,4,490,662000,43.64770224933395,-79.41988449718782
627015,W13,1,1,YES,500-999 sqft,Yes,No,2,3,516,660000,43.64093176004792,-79.4123713556418
766952,W10,1,1,YES,500-999 sqft,Yes,We,10,2,365,622000,43.660638028459495,-79.40686985254409
